fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.45195729537366547,0.3180747894512483,0.2723341875515789,0.584806236422573
2,0.43416370106761565,0.3203955781881862,0.2829059987059802,0.5741883363080442
3,0.44483985765124556,0.3061216456351081,0.24922781127395538,0.5869698542987685
4,0.41785714285714287,0.28457556935817807,0.2056442195406773,0.5503409482875576
5,0.42142857142857143,0.27121545099485006,0.2034202699611073,0.5906212313925683
mean,0.4340493136756482,0.3000766067255142,0.24270649740665987,0.5773853213419022
std,0.01310430664281073,0.019217628093609756,0.03302528597941935,0.0145858931486171
