fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.7130434782608696,0.6223091976516634,0.42105263157894735,0.6581865622961514
2,0.3652173913043478,0.5,0.535031847133758,0.5743639921722113
3,0.35964912280701755,0.5,0.5290322580645161,0.5021717340461076
4,0.35964912280701755,0.5,0.5290322580645161,0.5980621450050118
5,0.6929824561403509,0.6105913798864016,0.4262295081967213,0.6628800534580689
mean,0.4981083142639207,0.5465801155076131,0.4880757006076918,0.5991328973955101
std,0.16743652450843347,0.05716897293437971,0.052681689782641435,0.05927418935586295
