fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.5967741935483871,0.5186677410690304,0.13793103448275862,0.6255707762557078
2,0.5967741935483871,0.5275315605694333,0.21875,0.47918345420359926
3,0.5528455284552846,0.5161643835616438,0.367816091954023,0.46986301369863015
4,0.5772357723577236,0.4989041095890411,0.13333333333333333,0.5964383561643836
5,0.6666666666666666,0.5963013698630137,0.3492063492063492,0.5156164383561644
mean,0.5980592709152898,0.5315138329304325,0.24140736179529282,0.537334407735697
std,0.037916165942459244,0.033696602687471135,0.10049924450741078,0.06274476241636051
