fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.7354497354497355,0.675307038261691,0.8134328358208955,0.7633443552196504
2,0.656084656084656,0.5852621634388285,0.7619047619047619,0.6725909305621163
3,0.6772486772486772,0.6253542749173359,0.7644787644787645,0.6593646669815778
4,0.6402116402116402,0.5850259801606046,0.7384615384615385,0.7034718941898913
5,0.6595744680851063,0.6066706372840976,0.751937984496124,0.6556283502084573
mean,0.6737138354159631,0.6155240188125115,0.7660431770324169,0.6908800394323387
std,0.033036111198756664,0.033451265944074486,0.02539707411981041,0.039950027949608925
