fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.6613756613756614,0.579416627302787,0.7730496453900709,0.6423004251299009
2,0.6349206349206349,0.5502479924421351,0.7561837455830389,0.5179499291450165
3,0.671957671957672,0.5905762871988663,0.7801418439716312,0.6146079357581482
4,0.6296296296296297,0.5484766178554559,0.75,0.5982522437411432
5,0.601063829787234,0.5238237045860631,0.7272727272727273,0.5145920190589637
mean,0.6397894855341664,0.5585082458770615,0.7573295924434937,0.5775405105666345
std,0.02500943820466626,0.023821848963506826,0.018579396754120778,0.05198147056965562
