fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.7566137566137566,0.7153991497401984,0.8188976377952756,0.7808219178082192
2,0.6296296296296297,0.5662494095418045,0.7368421052631579,0.6262990080302314
3,0.6772486772486772,0.6380491261218706,0.7550200803212851,0.6545229097779878
4,0.6984126984126984,0.6603684459140293,0.7710843373493976,0.6929617383089278
5,0.6702127659574468,0.6278737343656939,0.752,0.6337701012507444
mean,0.6864235055724418,0.6415879731367193,0.7667688321458233,0.6776751350352221
std,0.04157624798955989,0.04832659494964958,0.028241092464337102,0.056526317743292455
