fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.6608695652173913,0.611545988258317,0.48,0.6705805609915199
2,0.6434782608695652,0.5978473581213307,0.4675324675324675,0.6585127201565557
3,0.6140350877192983,0.5542933511526896,0.3888888888888889,0.6348145673237554
4,0.6140350877192983,0.5542933511526896,0.3888888888888889,0.6124290010023388
5,0.6666666666666666,0.648847310390912,0.5581395348837209,0.6712328767123288
mean,0.6398169336384439,0.5933654718151877,0.4566899560387932,0.6495139452372997
std,0.022391667803789022,0.03600587207907187,0.0634774049030184,0.022750195751930366
