fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.6402116402116402,0.5393245158242796,0.7702702702702703,0.6239962210675485
2,0.6349206349206349,0.5350141709966935,0.7661016949152543,0.5151157298063298
3,0.6402116402116402,0.5418634860651865,0.7687074829931972,0.610415682569674
4,0.6137566137566137,0.5076169107227209,0.7558528428093646,0.5786490316485594
5,0.6276595744680851,0.5330553901131626,0.7586206896551724,0.485646217986897
mean,0.6313520207137229,0.5313748947444086,0.7639105961286518,0.5627645766158017
std,0.009929282229010704,0.012277762209030166,0.005677446463404364,0.053832911740809425
