fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.45195729537366547,0.3180747894512483,0.2746122304030775,0.5786971585488689
2,0.4306049822064057,0.3157014355334862,0.2739165448231746,0.5669397646167706
3,0.4377224199288256,0.29674460714848055,0.23527270589724808,0.5795029422201073
4,0.4142857142857143,0.2786231884057971,0.20072677999507268,0.5528084414374698
5,0.44642857142857145,0.31503392974411554,0.2718745392894,0.5924326163412972
mean,0.43619979664463654,0.3048355900566255,0.25128056008159455,0.5740761846329028
std,0.013166426513471515,0.0151651121699991,0.029301203734477015,0.013349210270130649
