fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.22419928825622776,0.3351267336202774,0.1841657417684055,0.5852074346939148
2,0.3167259786476868,0.3039751644980953,0.25068790489547854,0.590271499389588
3,0.2277580071174377,0.26979474548440063,0.19858356152185042,0.5363195797292781
4,0.35714285714285715,0.27276510961740263,0.22664013119790485,0.5422266102571481
5,0.37142857142857144,0.31830740117746004,0.2563881294385522,0.5819813119119895
mean,0.2994509405185562,0.29999383087952725,0.22329309376443832,0.5672012871963836
std,0.06262627468632348,0.025451706228476322,0.02827886270919044,0.023031801984383704
