fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.4306049822064057,0.2829667268476569,0.2258257499157398,0.5872141336473434
2,0.39501779359430605,0.2549336439070023,0.19575265478164638,0.5182198875021524
3,0.38434163701067614,0.25457717569786537,0.19768588393860909,0.5281426497110118
4,0.3892857142857143,0.25106554354916477,0.1920479804825156,0.4997485760308419
5,0.4035714285714286,0.26184300724679427,0.1952280125268046,0.574899030757076
mean,0.40056431113370616,0.26107721944969675,0.2013080563290631,0.5416448555296851
std,0.016325626684196928,0.011488818117085357,0.012392060807715318,0.03367116333934558
