fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.4234875444839858,0.28703068033208884,0.23868072406772098,0.5723225575223186
2,0.4092526690391459,0.2634804486330173,0.19518053082727851,0.5315555255073681
3,0.3701067615658363,0.23838563105922578,0.18135851451604018,0.5681545587025274
4,0.41785714285714287,0.27226155024249127,0.20517204328679742,0.5407038484424759
5,0.42857142857142855,0.2939981796605874,0.24809116765334494,0.5490369871626897
mean,0.4098551093035079,0.27103129798548214,0.2136965960702364,0.5523546954674758
std,0.020882866273714242,0.01953318358573819,0.025567390938557755,0.01566975487435979
