fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.6613756613756614,0.5819555975436939,0.7714285714285715,0.6004959848842703
2,0.6296296296296297,0.5433986773736419,0.7535211267605634,0.5201346244685876
3,0.6507936507936508,0.5631790269248937,0.7692307692307693,0.6183278223901748
4,0.6137566137566137,0.5304676428908833,0.7402135231316725,0.5772319319792159
5,0.5904255319148937,0.5151280524121501,0.717948717948718,0.4795711733174508
mean,0.6291962174940898,0.5468257994290526,0.7504685417000589,0.5591523074079399
std,0.025470378888373876,0.023603442045446132,0.019815986709432964,0.051756063510282634
