fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.6370967741935484,0.6060972334139135,0.4943820224719101,0.7048079505774913
2,0.6129032258064516,0.5796400752081654,0.45454545454545453,0.6455815202793447
3,0.6504065040650406,0.6267123287671232,0.5376344086021505,0.6436986301369864
4,0.6747967479674797,0.6378082191780822,0.5238095238095238,0.7071232876712329
5,0.6016260162601627,0.5698630136986301,0.449438202247191,0.664931506849315
mean,0.6353658536585366,0.6040241740531829,0.49196192233524594,0.673228579102874
std,0.026179988366086843,0.026160966334182262,0.035536914435916465,0.027753656073268095
