fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.6190476190476191,0.5068493150684932,0.7631578947368421,0.6023854511100616
2,0.6402116402116402,0.5342465753424658,0.7733333333333333,0.5409777987718469
3,0.6296296296296297,0.5357817666509211,0.7586206896551724,0.5969532357109116
4,0.6031746031746031,0.5091521020311762,0.740484429065744,0.5265706188001888
5,0.6223404255319149,0.5162001191185229,0.7625418060200669,0.5484216795711733
mean,0.6228807835190814,0.5204459756423159,0.7596276305622317,0.5630617567928364
std,0.01224111267745339,0.012297081730786148,0.0107357120464067,0.03075263075880318
