fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.6296296296296297,0.5484766178554559,0.75,0.6241143127066603
2,0.6455026455026455,0.5537907416154936,0.7681660899653979,0.562588568729334
3,0.656084656084656,0.5801842229570147,0.7653429602888087,0.6017949929145016
4,0.6402116402116402,0.5520193670288144,0.7622377622377622,0.5343646669815778
5,0.6436170212765957,0.5561048243001787,0.7649122807017544,0.5880881477069685
mean,0.6430091185410334,0.5581151547513914,0.7621318186387447,0.5821901378078085
std,0.008536902401136798,0.011312345206989411,0.006350544511360379,0.031139269341342552
