fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.6521739130434783,0.5895303326810176,0.42857142857142855,0.6477495107632094
2,0.6782608695652174,0.6201891715590346,0.4788732394366197,0.6506849315068494
3,0.7280701754385965,0.6540260608085533,0.5079365079365079,0.670564650851988
4,0.7105263157894737,0.6563648513197461,0.5352112676056338,0.6936184430337455
5,0.6491228070175439,0.5977280320748413,0.4594594594594595,0.7009689274974941
mean,0.6836308161708619,0.6235676896886385,0.4820103806019299,0.6727172927306573
std,0.03132858224848386,0.027716457727314382,0.03708532256764891,0.02167238748047477
