fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.6782608695652174,0.5645792563600782,0.24489795918367346,0.6669928245270711
2,0.6521739130434783,0.5490867579908676,0.25925925925925924,0.6624266144814089
3,0.6140350877192983,0.5222185098563314,0.26666666666666666,0.623454727697962
4,0.6578947368421053,0.5564650851987972,0.2909090909090909,0.5853658536585367
5,0.7192982456140351,0.6632141663882393,0.5428571428571428,0.6812562646174407
mean,0.6643325705568268,0.5711127551588627,0.32091802377516665,0.6438992569964839
std,0.03445094594642804,0.04819896797070261,0.11196568388652046,0.03497501948424663
