fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.6869565217391305,0.5764840182648402,0.28,0.6722113502935422
2,0.6782608695652174,0.5949119373776908,0.39344262295081966,0.6630789302022179
3,0.6140350877192983,0.5275643167390578,0.2903225806451613,0.6281323087203475
4,0.6403508771929824,0.5481122619445372,0.3050847457627119,0.5970598062145006
5,0.6929824561403509,0.615937186769128,0.4444444444444444,0.6785833611760775
mean,0.6625171624713959,0.5726019442190508,0.34265887876062745,0.6478131513213372
std,0.0303813643147279,0.031682430359563085,0.06483259784100048,0.03078428020094213
