fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.5887096774193549,0.559092130002686,0.43956043956043955,0.6116035455278002
2,0.532258064516129,0.49932849852269673,0.35555555555555557,0.5580177276390008
3,0.5691056910569106,0.5424657534246575,0.43010752688172044,0.5934246575342466
4,0.6260162601626016,0.5935616438356164,0.4772727272727273,0.6838356164383561
5,0.5121951219512195,0.4661643835616438,0.2682926829268293,0.5883561643835616
mean,0.5656569630212431,0.5321224818694601,0.3941577864394544,0.607047542304593
std,0.04039856678035766,0.044799624744253176,0.07428867295822011,0.042085719237616566
