fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.5403225806451613,0.5061778135911899,0.3595505617977528,0.5122213268869191
2,0.47580645161290325,0.4336556540424389,0.23529411764705882,0.4568896051571314
3,0.44715447154471544,0.4302739726027397,0.3333333333333333,0.4471232876712328
4,0.6260162601626016,0.5904109589041096,0.46511627906976744,0.6076712328767123
5,0.44715447154471544,0.3956164383561644,0.15,0.4156164383561644
mean,0.5072908471020194,0.47122696749932846,0.30865885836958246,0.48790437818963195
std,0.06842638908626447,0.06961621787040295,0.10791917179550131,0.06750699698709331
