fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.4875444839857651,0.4162723642748112,0.42772241828752466,0.7051214532469223
2,0.4697508896797153,0.39985515560648954,0.3979569913574689,0.671322827623533
3,0.48398576512455516,0.3989126571743482,0.3956562335078959,0.6799656285644644
4,0.4714285714285714,0.391257125840211,0.391311644828948,0.6631344242246866
5,0.5,0.42121729437653377,0.4283120973144361,0.6760072122178837
mean,0.4825419420437214,0.40550291945447875,0.4081918770592547,0.679110309175498
std,0.011126651478174938,0.011324256708790859,0.016328519764575063,0.01416202080759414
