experiment_id,task,classifier,fusion,accuracy,balanced_acc,f1,roc_auc
glcm_narrow_rf,cn_vs_ad,rf,narrow,0.6836003051106025,0.6296342258921611,0.4985158487154814,0.6964066949867151
glcm_narrow_rf,cn_vs_emci,rf,narrow,0.6249859281774175,0.5742779979873077,0.7229530674942855,0.6166211414840526
glcm_narrow_rf,cn_vs_lmci,rf,narrow,0.5802648832939943,0.5475235025517056,0.41911354064076933,0.5678861133494493
glcm_narrow_rf,four_class,rf,narrow,0.42123792577529234,0.3492109316207249,0.34602331771665756,0.6219189635421711
glcm_original_rf,cn_vs_ad,rf,original,0.6783371472158657,0.6258149968975228,0.49024041552575354,0.7036967209202426
glcm_original_rf,cn_vs_emci,rf,original,0.6207474952155803,0.5753773798032491,0.7147974835835974,0.6528924236511882
glcm_original_rf,cn_vs_lmci,rf,original,0.5656569630212431,0.5321224818694601,0.3941577864394544,0.607047542304593
glcm_original_rf,four_class,rf,original,0.4511642094560244,0.3728172032770588,0.372254686401441,0.6545095947746126
glcm_wide_rf,cn_vs_ad,rf,wide,0.6695499618611747,0.6158743417179768,0.4792682453604389,0.7102898827422717
glcm_wide_rf,cn_vs_emci,rf,wide,0.6864235055724418,0.6415879731367193,0.7667688321458233,0.6776751350352221
glcm_wide_rf,cn_vs_lmci,rf,wide,0.6174009965906111,0.5949041095890412,0.5021198248043941,0.6398415256513564
glcm_wide_rf,four_class,rf,wide,0.4825419420437214,0.40550291945447875,0.4081918770592547,0.679110309175498
glcm_feature_rf,cn_vs_ad,rf,feature,0.7816323417238749,0.7424076814153661,0.6638714969241285,0.8410306588388782
glcm_feature_rf,cn_vs_emci,rf,feature,0.712923561859732,0.6662464315787312,0.7886150814241761,0.7417269105173442
glcm_feature_rf,cn_vs_lmci,rf,feature,0.6353658536585366,0.6040241740531829,0.49196192233524594,0.673228579102874
glcm_feature_rf,four_class,rf,feature,0.5374326385358413,0.46614695387960925,0.47116736780217217,0.7441630454313749
glcm_decision_rf,cn_vs_ad,rf,decision,0.715072463768116,0.6483413679537969,0.5059697838286115,0.7515416925206433
glcm_decision_rf,cn_vs_emci,rf,decision,0.6737138354159631,0.6155240188125115,0.7660431770324169,0.6908800394323387
glcm_decision_rf,cn_vs_lmci,rf,decision,0.6093627065302912,0.5726150953532098,0.43634635210409395,0.6395417673918883
glcm_decision_rf,four_class,rf,decision,0.49177427554651754,0.3950934946917824,0.3921589935347656,0.6893825866682973
