experiment_id,task,classifier,fusion,accuracy,balanced_acc,f1,roc_auc
glcm_narrow_mlp,cn_vs_ad,mlp,narrow,0.6643325705568268,0.5711127551588627,0.32091802377516665,0.6438992569964839
glcm_narrow_mlp,cn_vs_emci,mlp,narrow,0.6133457165372059,0.5060935285781767,0.7563663861993735,0.49983734160317106
glcm_narrow_mlp,cn_vs_lmci,mlp,narrow,0.5932074482035145,0.5064109589041096,0.04923076923076923,0.5412763900080579
glcm_narrow_mlp,four_class,mlp,narrow,0.4233604473817997,0.2978056754640197,0.23936433893918144,0.565800746745483
glcm_original_mlp,cn_vs_ad,mlp,original,0.6538215102974829,0.5606971823142889,0.3136307315289541,0.6459373458705232
glcm_original_mlp,cn_vs_emci,mlp,original,0.6260610154227175,0.5265942371280113,0.759942561205273,0.5585969686389682
glcm_original_mlp,cn_vs_lmci,mlp,original,0.5915814319433517,0.5,0.0,0.5375138329304324
glcm_original_mlp,four_class,mlp,original,0.43619979664463654,0.3048355900566255,0.25128056008159455,0.5740761846329028
glcm_wide_mlp,cn_vs_ad,mlp,wide,0.6572692601067888,0.5684923551779549,0.33184753764617436,0.6491559670978314
glcm_wide_mlp,cn_vs_emci,mlp,wide,0.6292243611392547,0.5327125136062106,0.7602572399426533,0.5678049331498635
glcm_wide_mlp,cn_vs_lmci,mlp,wide,0.5915814319433517,0.5,0.0,0.5327348912167607
glcm_wide_mlp,four_class,mlp,wide,0.43548042704626333,0.29722339751321414,0.23812427135141193,0.5901481594325567
glcm_feature_mlp,cn_vs_ad,mlp,feature,0.4981083142639207,0.5465801155076131,0.4880757006076918,0.5991328973955101
glcm_feature_mlp,cn_vs_emci,mlp,feature,0.6260553866936845,0.524017785627734,0.7615918109141296,0.5507537327226797
glcm_feature_mlp,cn_vs_lmci,mlp,feature,0.5866902701285077,0.5013655654042439,0.05913978494623655,0.541952189094816
glcm_feature_mlp,four_class,mlp,feature,0.4347864768683274,0.3103191729632774,0.2488360111222557,0.559597121004198
glcm_decision_mlp,cn_vs_ad,mlp,decision,0.6625171624713959,0.5726019442190508,0.34265887876062745,0.6478131513213372
glcm_decision_mlp,cn_vs_emci,mlp,decision,0.6228807835190814,0.5204459756423159,0.7596276305622317,0.5630617567928364
glcm_decision_mlp,cn_vs_lmci,mlp,decision,0.5915814319433517,0.5,0.0,0.5433897394574269
glcm_decision_mlp,four_class,mlp,decision,0.4340493136756482,0.3000766067255142,0.24270649740665987,0.5773853213419022
