fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.5587188612099644,0.49565111019695046,0.5012658736626753,0.7747617442442669
2,0.5160142348754448,0.45125886195578735,0.4517355199784594,0.7218004206952133
3,0.5195729537366548,0.43502918550509484,0.43703320381063054,0.7393303406312745
4,0.5357142857142857,0.45678436711194303,0.46056841709015617,0.7243582411830218
5,0.5571428571428572,0.49201124462827056,0.5052338244689394,0.7605644804030983
mean,0.5374326385358413,0.46614695387960925,0.47116736780217217,0.7441630454313749
std,0.018012579416474658,0.023736409149884365,0.027281932271393833,0.02059592061678542
