fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.2775800711743772,0.36625871963587786,0.2480263157894737,0.589880150577196
2,0.34519572953736655,0.305091401573245,0.2592642320085929,0.6009519327229953
3,0.2775800711743772,0.29332512315270937,0.23583877995642702,0.5859683032566203
4,0.4,0.2988472446751184,0.25252699886320573,0.55279816311169
5,0.39285714285714285,0.32445121951219513,0.267710528697586,0.6183858481137017
mean,0.3386426029486528,0.31759474170982915,0.25267337106305704,0.5895968795564407
std,0.053299447561607,0.026502869957749822,0.010719846668615337,0.02156448136831592
