fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.6190476190476191,0.511927255550307,0.76,0.5812470477090222
2,0.6349206349206349,0.5350141709966935,0.7661016949152543,0.5245630609352858
3,0.6402116402116402,0.5494803967879074,0.7638888888888888,0.5925247992442135
4,0.6084656084656085,0.5160014170996694,0.7430555555555556,0.5125177137458667
5,0.6276595744680851,0.5205479452054794,0.7666666666666667,0.5821322215604526
mean,0.6260610154227175,0.5265942371280113,0.759942561205273,0.5585969686389682
std,0.011314367019739133,0.013845991630051402,0.008762377343262191,0.03316515191167485
