fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.6137566137566137,0.5,0.760655737704918,0.4383561643835616
2,0.6137566137566137,0.5,0.760655737704918,0.47626358053849793
3,0.6296296296296297,0.5281648559282003,0.7635135135135135,0.5533774208786019
4,0.5978835978835979,0.502302786962683,0.7379310344827587,0.5090930562116203
5,0.6117021276595744,0.5,0.759075907590759,0.5220964860035735
mean,0.6133457165372059,0.5060935285781767,0.7563663861993735,0.49983734160317106
std,0.010072556739064516,0.011071643821822512,0.009328260294464662,0.03945462004433388
