fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.6695652173913044,0.6234507501630789,0.5,0.7206457925636007
2,0.6782608695652174,0.6303000652315721,0.5066666666666667,0.7009132420091324
3,0.6754385964912281,0.6182759772803207,0.4788732394366197,0.6389909789508854
4,0.7017543859649122,0.6441697293685266,0.5142857142857142,0.7153357834948214
5,0.6929824561403509,0.631974607417307,0.4927536231884058,0.7061476779151353
mean,0.6836003051106025,0.6296342258921611,0.4985158487154814,0.6964066949867151
std,0.011913875577905885,0.008768657510030907,0.012135588495980105,0.02952153249908808
