fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.5978835978835979,0.5073807274444969,0.7342657342657343,0.5878601794992915
2,0.656084656084656,0.5624114312706661,0.7766323024054983,0.6427727916863486
3,0.6190476190476191,0.5246221067548418,0.7517241379310344,0.5974256022673595
4,0.6349206349206349,0.5426310817194142,0.7612456747404844,0.5589277279168634
5,0.6542553191489362,0.5648004764740917,0.7735191637630662,0.5836807623585467
mean,0.6324383654170889,0.5403691647327021,0.7594774026211636,0.594133412745682
std,0.021975587555221117,0.022018508603746646,0.015429386011660605,0.027439676730332707
