fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.6695652173913044,0.6183953033268101,0.4864864864864865,0.6722113502935421
2,0.6521739130434783,0.6046966731898239,0.47368421052631576,0.6545988258317026
3,0.6140350877192983,0.5542933511526896,0.3888888888888889,0.6247911794186435
4,0.6140350877192983,0.5489475442699633,0.37142857142857144,0.5997327096558637
5,0.6666666666666666,0.648847310390912,0.5581395348837209,0.6657200133645171
mean,0.6432951945080092,0.5950360364660398,0.45572553844279673,0.6434108157128537
std,0.024606824884805308,0.03825899102446308,0.06830884696134294,0.027227965281556448
