fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.6048387096774194,0.5727907601396723,0.449438202247191,0.5938759065269943
2,0.532258064516129,0.5052377115229654,0.3829787234042553,0.5030889067955949
3,0.5121951219512195,0.47876712328767124,0.3333333333333333,0.5306849315068494
4,0.6341463414634146,0.6004109589041096,0.4827586206896552,0.6317808219178082
5,0.6178861788617886,0.5804109589041095,0.4470588235294118,0.5800000000000001
mean,0.5802648832939943,0.5475235025517056,0.41911354064076933,0.5678861133494493
std,0.04870440106647072,0.046973673356895125,0.05369392728069404,0.0457981556176633
