fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.44483985765124556,0.30587966750002876,0.25750083779587873,0.5968026150407604
2,0.42704626334519574,0.3121428447987834,0.27675443084050766,0.578746433915563
3,0.4555160142348754,0.31639561823784784,0.26667581315828354,0.6003851695190154
4,0.43214285714285716,0.29827419949516437,0.23523758479541382,0.5681926753663907
5,0.41785714285714287,0.2534246575342466,0.15445269016697588,0.6066139033210539
mean,0.43548042704626333,0.29722339751321414,0.23812427135141193,0.5901481594325567
std,0.01328065006728953,0.02273556145537674,0.04402771296821038,0.014368308892127335
