fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.4412811387900356,0.3092042351694183,0.24652919559003678,0.5781915845658299
2,0.4234875444839858,0.3153334792677166,0.26704451281413805,0.568540768709375
3,0.4306049822064057,0.2924230154981218,0.2193007149240393,0.5702769761044897
4,0.4,0.27873521654045774,0.21097616839659006,0.5302835373541551
5,0.42142857142857143,0.293332430844384,0.252971102971103,0.5817108669935658
mean,0.4233604473817997,0.2978056754640197,0.23936433893918144,0.565800746745483
std,0.013587444687092762,0.013036996731067108,0.021029067784244602,0.01841565258568409
