fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.6612903225806451,0.6414182111200645,0.5625,0.6655922643029815
2,0.6370967741935484,0.6120064464141821,0.5161290322580645,0.6753961858716089
3,0.5528455284552846,0.5319178082191781,0.4329896907216495,0.6032876712328767
4,0.6178861788617886,0.5898630136986301,0.4835164835164835,0.6499999999999999
5,0.6178861788617886,0.5993150684931507,0.5154639175257731,0.6049315068493152
mean,0.6174009965906111,0.5949041095890412,0.5021198248043941,0.6398415256513564
std,0.03600576581906718,0.03596719319770224,0.042767155636215796,0.03028307346086333
