fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.7391304347826086,0.6833007175472929,0.5714285714285714,0.8013698630136987
2,0.7304347826086957,0.691617742987606,0.5974025974025974,0.794194390084801
3,0.8157894736842105,0.7813230872034748,0.72,0.9044437019712663
4,0.8070175438596491,0.7744737721349817,0.7105263157894737,0.8374540594721016
5,0.8157894736842105,0.7813230872034748,0.72,0.8676912796525227
mean,0.7816323417238749,0.7424076814153661,0.6638714969241285,0.8410306588388782
std,0.03848488006472673,0.04501178248535,0.06548480574334006,0.04125871932282969
