fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.6956521739130435,0.6035551206784083,0.38596491228070173,0.6738421395955643
2,0.6956521739130435,0.6187214611872146,0.4444444444444444,0.6559034572733202
3,0.6228070175438597,0.5397594386902773,0.31746031746031744,0.6291346475108586
4,0.631578947368421,0.5466087537587705,0.3225806451612903,0.6010691613765453
5,0.6929824561403509,0.6212829936518542,0.46153846153846156,0.6715669896424992
mean,0.6677345537757438,0.5859855535933051,0.38639775617704303,0.6463032790797575
std,0.03323237875513082,0.03553484113508523,0.0597339519705204,0.02767560169388138
