fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.45195729537366547,0.3747131576111671,0.3759964343362176,0.6788972164484295
2,0.4412811387900356,0.36051063310446935,0.36868383964980356,0.6416711618806269
3,0.47686832740213525,0.38729125896934113,0.38952352913467425,0.6455722970129711
4,0.42142857142857143,0.35489804021668225,0.33920790622558317,0.633632566826431
5,0.4642857142857143,0.38667292648363427,0.3878617226609261,0.6727747317046043
mean,0.4511642094560244,0.3728172032770588,0.372254686401441,0.6545095947746126
std,0.01905459424046888,0.013248562720497499,0.018224345334044684,0.01793835145368349
