fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.6956521739130435,0.5934442270058709,0.33962264150943394,0.6725375081539465
2,0.6260869565217392,0.5184279191128506,0.18867924528301888,0.6637312459230267
3,0.6140350877192983,0.5275643167390578,0.2903225806451613,0.6244570664884731
4,0.6403508771929824,0.5481122619445372,0.3050847457627119,0.5963915803541597
5,0.6929824561403509,0.615937186769128,0.4444444444444444,0.6725693284330103
mean,0.6538215102974829,0.5606971823142889,0.3136307315289541,0.6459373458705232
std,0.034108670301762824,0.03785943645046742,0.0824827067409603,0.03049471852870577
