fold,accuracy,balanced_accuracy,f1,roc_auc
1,0.2277580071174377,0.3388330942132951,0.18481518481518483,0.5704896836242539
2,0.3416370106761566,0.3096254060917891,0.2598017268947873,0.5772933173786357
3,0.2526690391459075,0.2791912972085386,0.21829181110646506,0.5411703726416203
4,0.39285714285714285,0.2819443262713066,0.21243808664595548,0.546028319462136
5,0.375,0.3057905803195963,0.25268416927899684,0.5933444929785872
mean,0.3179842399593289,0.3030769408209052,0.22560619574827792,0.5656652372170466
std,0.0660651959719797,0.021660379085472355,0.02754398988485504,0.01954602599187226
